NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2016-11-16 using PALFA Known_Pulsars database
# Contains only sources with DM > 0 and period > 0
114;B0540+23;85.79025;23.484722;0.245975;77.71;
115;J0543-6851;85.969625;-68.857028;0.708954;131.0;
116;J0546+2441;86.619833;24.689167;2.84385;73.81;
117;J0555-7056;88.757708;-70.946;0.827838;73.4;
118;B0559-57;90.19375;-57.948333;2.261365;30.0;
119;B0559-05;90.495759;-5.464044;0.395969;80.54;
120;J0609+2130;92.495359;21.500789;0.055698;38.73;
121;J0610-2100;92.556634;-21.007782;0.003861;60.67;
122;J0611+30;92.816667;30.266667;1.41209;73.0;
123;B0609+37;93.202861;37.360377;0.297982;27.14;
124;J0613-0200;93.43323;-2.013103;0.003062;38.78;
125;B0611+22;93.5715;22.51;0.33496;96.91;
126;J0621+1002;95.34213;10.044095;0.028854;36.6;
127;B0621-04;96.083451;-4.414015;1.039076;70.83;
128;J0625+10;96.4375;10.266667;0.498397;78.0;
129;J0628+09;97.204167;9.166389;1.241;88.0;
130;B0626+24;97.273867;24.262028;0.476623;84.19;
131;B0628-28;97.706158;-28.578647;1.244419;34.47;
132;J0631+1036;97.86475;10.61728;0.287773;125.4;
134;J0633-2015;98.286917;-20.251972;3.253211;90.7;
136;J0636-4549;99.1406;-45.825728;1.984597;26.31;
137;B0643+80;103.312875;80.866728;1.214441;33.33;
138;J0656-2228;104.125862;-22.473764;1.224754;32.39;
139;J0656-5449;104.204125;-54.820811;0.183157;67.5;
140;B0656+14;104.950558;14.239306;0.384891;13.98;
141;B0655+64;105.157508;64.303111;0.195671;8.77;
142;J0709-5923;107.385554;-59.398778;0.485268;65.0;
143;J0711+0931;107.90075;9.523611;1.21409;45.0;
144;J0711-6830;107.975836;-68.513187;0.005491;18.41;
145;J0719-2545;109.78075;-25.750064;0.974725;253.89;
147;J0725-1635;111.251684;-16.59606;0.424311;98.98;
148;J0726-2612;111.533833;-26.210583;3.442308;69.4;
149;B0727-18;112.384798;-18.611875;0.51016;61.29;
150;J0729-1448;112.318542;-14.810222;0.251659;92.3;
151;J0733-2345;113.3525;-23.765611;1.79625;194.0;
152;J0737-2202;114.433629;-22.034811;0.320366;95.7;
153;J0737-3039A;114.463539;-30.661311;0.022699;48.92;
154;J0737-3039B;114.463539;-30.661311;2.773461;48.92;
155;B0736-40;114.634704;-40.711372;0.37492;160.8;
156;B0740-28;115.704408;-28.378822;0.166762;73.78;
157;B0743-53;116.259583;-53.856111;0.214836;122.3;
158;J0746-4529;116.747992;-45.490736;2.791025;134.57;
159;J0749-4247;117.456979;-42.795039;1.095452;104.59;
160;J0751+1807;117.788154;18.12739;0.003479;30.25;
161;B0751+32;118.669533;32.532278;1.442349;39.95;
162;B0756-15;119.621128;-15.469094;0.682265;63.33;
164;B0808-47;122.432875;-47.89865;0.547199;228.3;
165;B0809+74;123.747917;74.484917;1.292241;6.12;
166;J0815+0939;123.786567;9.664083;0.645161;52.67;
167;J0818-3232;124.608063;-32.541814;2.161259;131.8;
168;B0818-13;125.109862;-13.848747;1.23813;40.94;
169;B0818-41;125.064375;-41.243444;0.545446;113.4;
170;J0820-3921;125.204625;-39.365472;1.073567;179.4;
171;J0821-4221;125.435983;-42.357072;0.396728;270.6;
172;B0820+02;125.7907;1.986781;0.864873;23.73;
173;B0823+26;126.714097;26.623275;0.530661;19.45;
174;B0826-34;127.069273;-34.285291;1.848919;52.2;
175;J0831-4406;127.885125;-44.103306;0.311674;254.0;
176;J0834-4159;128.567917;-41.9975;0.121116;240.5;
177;J0834-60;128.708333;-60.583333;0.384645;20.0;
178;B0833-45;128.835881;-45.176354;0.089328;67.99;
179;J0835-3707;128.762833;-37.130972;0.541404;112.3;
180;B0834+06;129.273508;6.170711;1.273768;12.89;
181;B0835-41;129.338257;-41.587325;0.751624;147.29;
182;J0838-2621;129.578338;-26.358208;0.308581;116.9;
183;J0838-3947;129.628333;-39.789444;1.703946;219.0;
184;B0839-53;130.141167;-53.543194;0.720612;156.5;
185;B0840-48;130.522375;-48.855778;0.644354;196.85;
186;J0843+0719;130.890917;7.313278;1.36586;36.6;
